No.,级别,类别,类别名称,细目,语法内容,例句
71,二级,语素,后缀,,面,"我想坐在教室前面。
你的书包里面有什么？
学校后面有一家超市。"
72,二级,词类,名词,方位名词,左、右,"左边那件多少钱？
你右边那个人是谁？"
73,二级,词类,动词,动词重叠,AA、A一A、A了A、ABAB,"那本书能给我看看吗？
请大家说一说自己的爱好。
我尝了尝，觉得很好吃。
喝杯茶，休息休息吧。"
74,二级,词类,动词,能愿动词,可能,"她可能回家了。
小猫可能在房间里。"
75,二级,词类,动词,离合词,帮忙、游泳、跳舞、跑步,"你能帮我一个忙吗？
晚上一起去游游泳，运动一下吧。
星期六的晚上，我喜欢和朋友们一起唱唱歌，跳跳舞。
有时间你可以去外面跑跑步。"
76,二级,词类,代词,疑问代词,为什么,"他昨天为什么没来上课？
你为什么想学中文？"
77,二级,词类,代词,人称代词,自己,下午我有事，你自己去，可以吗？
78,二级,词类,代词,指示代词,那么、那样、这么、这样、每,"他为什么学得那么好？
那样的事情经常有。
这么多人，我们明天再来吧。
这个字这样写，对吗？
你每天怎么去学校？"
79,二级,词类,形容词,形容词重叠,AA、AABB,"她高高的个子，大大的眼睛，非常漂亮。
大家高高兴兴地回家了。"
80,二级,词类,数词,,万、好多、多,两万三千、五万零八百、好多东西、好多人、二十多年、五十多人
81,二级,词类,量词,名量词,专用名量词：条、位、间、名,一条裤子、一位老师、一间教室、一名学生
82,二级,词类,量词,名量词,借用名量词：包,一包衣服、一包书
83,二级,词类,量词,动量词,次,去一次、看一次
84,二级,词类,副词,程度副词,多、好、最,"这只小狗多可爱啊！
这个教室好大啊！
我最喜欢打篮球。"
85,二级,词类,副词,范围副词,一起,"晚上我们一起吃饭吧。
一起去看电影，怎么样？"
86,二级,词类,副词,时间副词,还2、已经、有时（候）、快、快要、正,"他还没有起床呢。
张老师已经下班了。
我有时（候）去超市买东西。
下雨了，快回家吧。
新年快要到了。
我出来的时候，他正睡觉呢。"
87,二级,词类,副词,频率副词,常、经常,"我不常坐地铁。
你经常上网买东西吗？"
88,二级,词类,副词,否定副词,别,"下雨了，别出去了。
别忘了，明天有考试。"
89,二级,词类,副词,关联副词,再2、就1,"我先休息一会儿再工作。
你洗完手再吃水果。
因为身体不舒服，我就没去上课。
他一到北京就去了长城。"
